customer_id,first_name,last_name,address,phone,email
32,Julie,Baños,"Calle 9 de Octubre N6-637, Sector La Floresta, Quito, Pichincha","+593-996017954","julie.banos@gmail.com"
33,Artemio,Goñi,"Calle Olmedo N24-136, Sector Carcelén, Cuenca, Azuay","+593-992189620","artemio.goni@gmail.com"
34,María Teresa,Mancebo,"Avenida Amazonas N26-678, Sector El Bosque, Quito, Pichincha","+593-988692841","maria_teresa.mancebo@gmail.com"
35,Cebrián,Guerrero,"Av. Simón Bolívar N26-814, Sector Bellavista, Quito, Pichincha","+593-922500434","cebrian.guerrero@gmail.com"
36,Roxana,Cabrero,"Avenida Amazonas N19-560, Sector Carcelén, Ambato, Tungurahua","+593-958359593","roxana.cabrero@gmail.com"
37,Ricardo,Lobo,"Calle Olmedo N46-588, Sector Bellavista, Quito, Pichincha","+593-949123131","ricardo.lobo@gmail.com"
38,Wilfredo,Patiño,"Calle Gran Colombia N47-866, Sector Santa Rosa, Guayaquil, Guayas","+593-969930440","wilfredo.patino@gmail.com"
39,Fermín,Pellicer,"Av. Bolívar N24-100, Sector San Blas, Quito, Pichincha","+593-953984444","fermin.pellicer@gmail.com"
40,Pedro,Gallego,"Calle Patria N9-111, Sector San Blas, Quito, Pichincha","+593-944532516","pedro.gallego@gmail.com"
41,Herminia,Lasa,"Calle Bolívar N20-446, Sector La Carolina, Loja, Loja","+593-915003006","herminia.lasa@gmail.com"
42,Judith,Bellido,"Avenida La República N35-872, Sector San Juan, Guayaquil, Guayas","+593-996748855","judith.bellido@gmail.com"
43,Emelina,Donoso,"Avenida Gran Colombia N29-257, Sector Centro, Loja, Loja","+593-945553653","emelina.donoso@gmail.com"
44,Bibiana,Hierro,"Pasaje Gran Colombia N28-705, Sector Los Chillos, Quito, Pichincha","+593-967614351","bibiana.hierro@gmail.com"
45,Fernando,Sevilla,"Avenida La República N18-423, Sector El Bosque, Guayaquil, Guayas","+593-939522001","fernando.sevilla@gmail.com"
46,Reynaldo,Lerma,"Pasaje Gran Colombia N31-438, Sector Bellavista, Quito, Pichincha","+593-999799858","reynaldo.lerma@gmail.com"
47,Ángela,Gimenez,"Avenida 9 de Octubre N36-434, Sector San Juan, Quito, Pichincha","+593-966561186","angela.gimenez@gmail.com"
48,Isidora,Morata,"Avenida Olmedo N1-748, Sector San Juan, Guayaquil, Guayas","+593-956911058","isidora.morata@gmail.com"
49,Pía,Barba,"Avenida Simón Bolívar N22-947, Sector El Bosque, Quito, Pichincha","+593-986200228","pia.barba@gmail.com"
50,Jenaro,Antón,"Pasaje 9 de Octubre N20-330, Sector El Bosque, Cuenca, Azuay","+593-945410440","jenaro.anton@gmail.com"
